name,eccentricity,semi_major_axis,inclination,perihelion_distance,aphelion_distance,orbital_period,mean_motion,epoch_osculation,close_approach_km
433 Eros (A898 PA),0.2227480169011467,1.45815896084448,10.82830761253864,1.133356943989735,1.782960977699224,643.1403141999031,0.5597534349061246,2460800.5,47112732.928149391
719 Albert (A911 TB),0.5466515285670863,2.636355360842985,11.57399179534264,1.195187672992135,4.077523048693836,1563.523276676472,0.2302492104660186,2460800.5,255628984.355940963
887 Alinda (A918 AA),0.5711888387990305,2.473267631736025,9.399887913563512,1.060564765125497,3.885970498346553,1420.708888524285,0.2533946277860894,2460800.5,20461808.629037197
1036 Ganymed (A924 UB),0.5329907224613039,2.665800727933956,26.68214802215928,1.244953672014567,4.086647783853346,1589.790692990966,0.2264449034625501,2460800.5,292651826.173281699
1221 Amor (1932 EA1),0.434592867636064,1.919760465125785,11.86862228590597,1.085446259412426,2.754074670839144,971.5585822353139,0.3705386443828532,2460800.5,27512874.494038238
1566 Icarus (1949 MA),0.8269970437264934,1.077993759038379,22.80383939212258,0.1864961071580298,1.969491410918729,408.8112105840507,0.8806020742084927,2460800.5,12638630.577981212
1580 Betulia (1950 KA),0.4876215452396595,2.195302581959207,52.18774063385309,1.124825744675644,3.26577941924277,1188.064472711711,0.30301385848052,2460800.5,276689988.329132605
1620 Geographos (1951 RA),0.3356379546214706,1.245661499800686,13.33583532561431,0.8275702218568705,1.663752777744502,507.8067734392566,0.7089310714817846,2460800.5,5071250.179154606
1627 Ivar (1929 SH),0.3972474665976432,1.863027539432644,8.456136476861976,1.122944569191386,2.603110509673903,928.810976048288,0.3875923188716537,2460800.5,24911351.31832913
1685 Toro (1948 OA),0.4360388253134502,1.367883881478552,9.381908106861054,0.7714334006334416,1.964334362323663,584.3489593438653,0.6160702337935624,2460800.5,26483636.032191084
1862 Apollo (1932 HA),0.5598464936018323,1.470718674656975,6.352185783539661,0.6473419815755338,2.294095367738417,651.4676238253429,0.5525984513031076,2460800.5,9839828.726759549
1863 Antinous (1948 EA),0.60632424970856,2.261087587826247,18.35871578711857,0.8901353526121598,3.632039823040333,1241.865338693286,0.2898865028142252,2460800.5,13378690.522801436
1864 Daedalus (1971 FA),0.6143747649580364,1.460881510207671,22.21466822901931,0.5633527757422918,2.35841024467305,644.9423793720721,0.5581894003469003,2460800.5,22024825.739892864
1865 Cerberus (1971 UA),0.4668522298549034,1.079958941003393,16.10139880372478,0.5757777012442187,1.584140180762566,409.929613790527,0.87819954423678,2460800.5,49946927.092249264
1866 Sisyphus (1972 XA),0.5380672679973022,1.893625005051852,41.20711450673809,0.8747273719722243,2.912522638131479,951.7861843447965,0.3782362109488085,2460800.5,29534088.129173607
1915 Quetzalcoatl (1953 EA),0.5702617900147232,2.544917681590535,20.3989349511953,1.093648369046597,3.996186994134474,1482.890338277411,0.2427691318146906,2460800.5,3789658.286758657
1917 Cuyo (1968 AA),0.5056261748498805,2.148996910593281,23.96047267571335,1.06240782292579,3.235585998260772,1150.673505782372,0.3128602494025679,2460800.5,16872242.235656019
1943 Anteros (1973 EC),0.2561027627674788,1.43032986682301,8.708729946912538,1.064018436260797,1.796641297385223,624.8168568146249,0.5761688342329845,2460800.5,18431472.889783903
1981 Midas (1973 EA),0.6505192163094551,1.776403058936779,39.82316254777371,0.6208187331875066,2.93198738468605,864.7900724550764,0.4162859998820131,2460800.5,23199911.458661887
2059 Baboquivari (1963 UA),0.5317322820704836,2.641601955226156,11.02235450231238,1.2369769192519,4.046226991200411,1568.192934918218,0.2295635900303136,2460800.5,207416502.583003282
2061 Anza (1960 UA),0.5355493821553828,2.264999425918996,3.800550653277146,1.051980382785781,3.478018469052211,1245.089501735958,0.2891358408355965,2460800.5,33258260.771128049
2062 Aten (1976 AA),0.1828841947684451,0.9669656959476879,18.9352944780245,0.7901229532755859,1.14380843861979,347.308192549015,1.036543357522998,2460800.5,18835343.845160325
2063 Bacchus (1977 HB),0.349449573528822,1.077978810467282,9.43511634640714,0.7012795748763831,1.45467804605818,408.8027071179455,0.8806203915282165,2460800.5,9959875.213037193
2100 Ra-Shalom (1978 RA),0.4365091073640679,0.8320079339374605,15.75516813266968,0.4688288933745973,1.195186974500324,277.1977037932506,1.298712056678897,2460800.5,12234329.693286197
2101 Adonis (1936 CA),0.7641319160679783,1.874021346954154,1.319937947314381,0.442021824353783,3.306020869554526,937.0445245879686,0.384186653412544,2460800.5,28139969.347274712
2102 Tantalus (1975 YA),0.2993596093905289,1.289992557006803,64.0055537724307,0.9038208890245569,1.676164224989049,535.1545640488487,0.6727028492036543,2460800.5,49216305.785680098
2135 Aristaeus (1977 HA),0.5030931124932413,1.599597663566068,23.0726953324593,0.794851096265698,2.404344230866437,738.9491748978843,0.4871782961930346,2460800.5,71380028.480414418
2201 Oljato (1947 XC),0.7106736720303909,2.178748034164754,2.521841568329675,0.6303691682958926,3.727126900033615,1174.651234018182,0.306473946967673,2460800.5,25845171.321960574
2202 Pele (1972 RA),0.5128877926968548,2.290876951169472,8.74262300770041,1.115914128344061,3.465839773994884,1266.48797610257,0.2842506259773953,2460800.5,22477105.54873577
2212 Hephaistos (1978 SB),0.8350851695302925,2.167392273898469,11.2267953264257,0.3574351294113197,3.977349418385618,1165.479685847875,0.3088856926220071,2460800.5,17637404.014912041
2329 Orthos (1976 WA),0.6533255162077314,2.410367130132023,24.4622876736487,0.835612780588371,3.985121479675675,1366.857440818976,0.2633778690075387,2460800.5,72695339.822467089
2340 Hathor (1976 UA),0.4499589515216845,0.8438435546957027,5.860705135945564,0.4641485935764931,1.223538515814912,283.1335493295909,1.271484784662273,2460800.5,11911205.968456928
2608 Seneca (1978 DA),0.5647206075466479,2.530774299082859,14.42701426592145,1.101593899341345,3.959954698824373,1470.545782563277,0.2448070670553973,2460800.5,25771799.401042504
3102 Krok (1981 QA),0.4492278968055222,2.151335770740573,8.442537470319957,1.184895727128298,3.117775814352847,1152.55251955739,0.3123501913285907,2460800.5,29746627.657399537
3103 Eger (1982 BB),0.3541911071309663,1.404001919040747,20.93042064429341,0.9067169249217035,1.90128691315979,607.6450703910349,0.5924511158600051,2460800.5,26405147.011411155
3122 Florence (1981 ET3),0.4231777153732946,1.769058811018138,22.1407605109789,1.020432545010485,2.517685077025791,859.4326197129694,0.4188810056106919,2460800.5,7837812.477648522
3199 Nefertiti (1982 RA),0.2841592149718624,1.574548889011506,32.95994420567879,1.127126312775178,2.021971465247833,721.6600292685168,0.4988498536698787,2460800.5,7046928.900463848
3200 Phaethon (1983 TB),0.8897614245351867,1.271410702688361,22.31321219734756,0.1401585046950822,2.402662900681641,523.6332566123427,0.6875040793417672,2460800.5,22346295.256355034
3271 Ul (1982 RB),0.3955746352340128,2.101580010097027,25.06822443433197,1.270248264187803,2.932911756006251,1112.80052058829,0.3235081160904593,2460800.5,65291489.118876778
3288 Seleucus (1982 DV),0.4545107317006167,2.034596011449344,5.925930460377421,1.109850289570346,2.959341733328341,1060.024028838636,0.3396149428748485,2460800.5,20895360.908845857
3360 Syrinx (1981 VA),0.7463108746539077,2.467711329387651,21.12561047047551,0.6260315287589959,4.309391130016306,1415.924052737997,0.2542509249022656,2460800.5,13338427.048959647
3361 Orpheus (1982 HR),0.322941293594601,1.210438228433499,2.662078977897464,0.8195377411268276,1.60133871574017,486.4210644166561,0.7400995276216761,2460800.5,63868144.538059795
3362 Khufu (1984 QA),0.4685161092832482,0.9895095343794985,9.915868813150288,0.5259083772333374,1.45311069152566,359.5244260622864,1.001322786167612,2460800.5,72881438.226366259
3551 Verenia (1983 RD),0.4868698466104991,2.092947667620222,9.506875539052421,1.073954557722163,3.111940777518281,1105.951242399876,0.3255116375825143,2460800.5,12754489.745078621
3552 Don Quixote (1983 SA),0.7072397612514681,4.268440392964512,31.05420568082621,1.249629628528168,7.287251157400857,3221.085541780676,0.1117635639694888,2460800.5,90060440.678157976
3554 Amun (1986 EB),0.280578677029237,0.9739841535539491,23.35615003158971,0.7007049683023409,1.247263338805557,351.096308723622,1.025359683526,2460800.5,58971083.964523861
3671 Dionysus (1984 KD),0.5431039221790097,2.198699502364327,13.53858806865412,1.004577178937224,3.39282182579143,1190.82308189361,0.3023119096982393,2460800.5,275200659.748127076
3691 Bede (1982 FT),0.2844308094587988,1.774352132639633,20.34884315811049,1.269671719287996,2.279032545991269,863.2928542434073,0.4170079692313742,2460800.5,52099228.71829145
3752 Camillo (1985 PA),0.3015585641571565,1.413637334361371,55.5596336685028,0.9873428895724058,1.839931779150336,613.9110302732868,0.5864041892841435,2460800.5,14064861.365463892
3753 Cruithne (1986 TO),0.514857746453171,0.9977793232454196,19.80213508269347,0.4840649094217129,1.511493737069126,364.040897783263,0.9888998796347634,2460800.5,13746248.510088094
3757 Anagolay (1982 XB),0.4459088784262951,1.834504819176204,3.866466443074693,1.01648283278971,2.652526805562699,907.5628543320433,0.3966667413519873,2460800.5,27345733.655818013
3838 Epona (1986 WA),0.7027546447384642,1.504753735011292,29.19925072124354,0.4472810585445544,2.562226411478029,674.2121455717572,0.533956563026177,2460800.5,7402723.752916027
3908 Nyx (1980 PA),0.4590717752180838,1.927924845760999,2.186367310825609,1.042868964330447,2.812980727191551,977.7629512926179,0.3681874011733359,2460800.5,13926110.14886739
3988 Huma (1986 LA),0.3165492500581312,1.544488156075295,10.76836875385109,1.055581588545995,2.033394723604596,701.0924661406523,0.5134843367832985,2460800.5,8206416.543000942
4015 Wilson-Harrington (1979 VA),0.6309896262757076,2.625979279137054,2.798560063969781,0.9690135951866121,4.282944963087497,1554.301868804877,0.2316152397582902,2460800.5,7860397.821594541
